"slot","age","year","unit","season","area","iter","data","units"
"index","4",1994,"unique","all","unique","1",10.2,"numbers/100h"
"index","5",1994,"unique","all","unique","1",59.3,"numbers/100h"
"index","6",1994,"unique","all","unique","1",0,"numbers/100h"
"index","1",1995,"unique","all","unique","1",1362.1,"numbers/100h"
"index","2",1995,"unique","all","unique","1",223.7,"numbers/100h"
"index","3",1995,"unique","all","unique","1",142.8,"numbers/100h"
"index","4",1995,"unique","all","unique","1",411.1,"numbers/100h"
"index","5",1995,"unique","all","unique","1",7.1,"numbers/100h"
"index","6",1995,"unique","all","unique","1",31.1,"numbers/100h"
"index","1",1996,"unique","all","unique","1",218.4,"numbers/100h"
"index","2",1996,"unique","all","unique","1",349.1,"numbers/100h"
"index","3",1996,"unique","all","unique","1",29.6,"numbers/100h"
"index","4",1996,"unique","all","unique","1",35.5,"numbers/100h"
"index","5",1996,"unique","all","unique","1",90,"numbers/100h"
"index","6",1996,"unique","all","unique","1",10,"numbers/100h"
"index","1",1997,"unique","all","unique","1",10279.3,"numbers/100h"
"index","2",1997,"unique","all","unique","1",153.6,"numbers/100h"
"index","3",1997,"unique","all","unique","1",189.8,"numbers/100h"
"index","4",1997,"unique","all","unique","1",26.5,"numbers/100h"
"index","5",1997,"unique","all","unique","1",58.1,"numbers/100h"
"index","6",1997,"unique","all","unique","1",230,"numbers/100h"
"index","1",1998,"unique","all","unique","1",4094.6,"numbers/100h"
"index","2",1998,"unique","all","unique","1",3126.4,"numbers/100h"
"index","3",1998,"unique","all","unique","1",141.7,"numbers/100h"
"index","4",1998,"unique","all","unique","1",98.7,"numbers/100h"
"index","5",1998,"unique","all","unique","1",0,"numbers/100h"
"index","6",1998,"unique","all","unique","1",10,"numbers/100h"
"index","1",1999,"unique","all","unique","1",1648.9,"numbers/100h"
"index","2",1999,"unique","all","unique","1",971.8,"numbers/100h"
"index","3",1999,"unique","all","unique","1",455.6,"numbers/100h"
"index","4",1999,"unique","all","unique","1",10,"numbers/100h"
"index","5",1999,"unique","all","unique","1",20.7,"numbers/100h"
"index","6",1999,"unique","all","unique","1",0,"numbers/100h"
"index","1",2000,"unique","all","unique","1",1639.2,"numbers/100h"
"index","2",2000,"unique","all","unique","1",125.9,"numbers/100h"
"index","3",2000,"unique","all","unique","1",166.3,"numbers/100h"
"index","4",2000,"unique","all","unique","1",118,"numbers/100h"
"index","5",2000,"unique","all","unique","1",0,"numbers/100h"
"index","6",2000,"unique","all","unique","1",2,"numbers/100h"
"index","1",2001,"unique","all","unique","1",970.3,"numbers/100h"
"index","2",2001,"unique","all","unique","1",655.4,"numbers/100h"
"index","3",2001,"unique","all","unique","1",106.7,"numbers/100h"
"index","4",2001,"unique","all","unique","1",35.5,"numbers/100h"
"index","5",2001,"unique","all","unique","1",56.2,"numbers/100h"
"index","6",2001,"unique","all","unique","1",0,"numbers/100h"
"index","1",2002,"unique","all","unique","1",7547.5,"numbers/100h"
"index","2",2002,"unique","all","unique","1",379,"numbers/100h"
"index","3",2002,"unique","all","unique","1",195.3,"numbers/100h"
"index","4",2002,"unique","all","unique","1",0,"numbers/100h"
"index","5",2002,"unique","all","unique","1",30.8,"numbers/100h"
"index","6",2002,"unique","all","unique","1",19.2,"numbers/100h"
"index","1",2003,"unique","all","unique","1",NA,"numbers/100h"
"index","2",2003,"unique","all","unique","1",NA,"numbers/100h"
"index","3",2003,"unique","all","unique","1",NA,"numbers/100h"
"index","4",2003,"unique","all","unique","1",NA,"numbers/100h"
"index","5",2003,"unique","all","unique","1",NA,"numbers/100h"
"index","6",2003,"unique","all","unique","1",NA,"numbers/100h"
"index","1",2004,"unique","all","unique","1",1369.5,"numbers/100h"
"index","2",2004,"unique","all","unique","1",624.4,"numbers/100h"
"index","3",2004,"unique","all","unique","1",393,"numbers/100h"
"index","4",2004,"unique","all","unique","1",68.9,"numbers/100h"
"index","5",2004,"unique","all","unique","1",53.1,"numbers/100h"
"index","6",2004,"unique","all","unique","1",7.5,"numbers/100h"
"index","1",2005,"unique","all","unique","1",568.1,"numbers/100h"
"index","2",2005,"unique","all","unique","1",162.9,"numbers/100h"
"index","3",2005,"unique","all","unique","1",124,"numbers/100h"
"index","4",2005,"unique","all","unique","1",0,"numbers/100h"
"index","5",2005,"unique","all","unique","1",21.3,"numbers/100h"
"index","6",2005,"unique","all","unique","1",6.7,"numbers/100h"
"index","1",2006,"unique","all","unique","1",2726.4,"numbers/100h"
"index","2",2006,"unique","all","unique","1",117.1,"numbers/100h"
"index","3",2006,"unique","all","unique","1",25,"numbers/100h"
"index","4",2006,"unique","all","unique","1",30,"numbers/100h"
"index","5",2006,"unique","all","unique","1",0,"numbers/100h"
"index","6",2006,"unique","all","unique","1",0,"numbers/100h"
"index","1",2007,"unique","all","unique","1",848.6,"numbers/100h"
"index","2",2007,"unique","all","unique","1",911,"numbers/100h"
"index","3",2007,"unique","all","unique","1",33.3,"numbers/100h"
