"slot","age","year","unit","season","area","iter","data","units"
"catch.n","5",1965,"unique","all","unique","1",4798,"thousands"
"catch.n","6",1965,"unique","all","unique","1",2381,"thousands"
"catch.n","7",1965,"unique","all","unique","1",11990,"thousands"
"catch.n","8",1965,"unique","all","unique","1",1494,"thousands"
"catch.n","9",1965,"unique","all","unique","1",1463,"thousands"
"catch.n","10",1965,"unique","all","unique","1",3077,"thousands"
"catch.n","1",1966,"unique","all","unique","1",0,"thousands"
"catch.n","2",1966,"unique","all","unique","1",12145,"thousands"
"catch.n","3",1966,"unique","all","unique","1",132170,"thousands"
"catch.n","4",1966,"unique","all","unique","1",979,"thousands"
"catch.n","5",1966,"unique","all","unique","1",1168,"thousands"
"catch.n","6",1966,"unique","all","unique","1",3649,"thousands"
"catch.n","7",1966,"unique","all","unique","1",736,"thousands"
"catch.n","8",1966,"unique","all","unique","1",6255,"thousands"
"catch.n","9",1966,"unique","all","unique","1",694,"thousands"
"catch.n","10",1966,"unique","all","unique","1",2424,"thousands"
"catch.n","1",1967,"unique","all","unique","1",0,"thousands"
"catch.n","2",1967,"unique","all","unique","1",3769,"thousands"
"catch.n","3",1967,"unique","all","unique","1",26260,"thousands"
"catch.n","4",1967,"unique","all","unique","1",87039,"thousands"
"catch.n","5",1967,"unique","all","unique","1",1998,"thousands"
"catch.n","6",1967,"unique","all","unique","1",548,"thousands"
"catch.n","7",1967,"unique","all","unique","1",1962,"thousands"
"catch.n","8",1967,"unique","all","unique","1",777,"thousands"
"catch.n","9",1967,"unique","all","unique","1",5160,"thousands"
"catch.n","10",1967,"unique","all","unique","1",2978,"thousands"
"catch.n","1",1968,"unique","all","unique","1",1034,"thousands"
"catch.n","2",1968,"unique","all","unique","1",17093,"thousands"
"catch.n","3",1968,"unique","all","unique","1",13852,"thousands"
"catch.n","4",1968,"unique","all","unique","1",24894,"thousands"
"catch.n","5",1968,"unique","all","unique","1",48417,"thousands"
"catch.n","6",1968,"unique","all","unique","1",461,"thousands"
"catch.n","7",1968,"unique","all","unique","1",244,"thousands"
"catch.n","8",1968,"unique","all","unique","1",1639,"thousands"
"catch.n","9",1968,"unique","all","unique","1",323,"thousands"
"catch.n","10",1968,"unique","all","unique","1",6502,"thousands"
"catch.n","1",1969,"unique","all","unique","1",404,"thousands"
"catch.n","2",1969,"unique","all","unique","1",24404,"thousands"
"catch.n","3",1969,"unique","all","unique","1",21884,"thousands"
"catch.n","4",1969,"unique","all","unique","1",5433,"thousands"
"catch.n","5",1969,"unique","all","unique","1",12638,"thousands"
"catch.n","6",1969,"unique","all","unique","1",25646,"thousands"
"catch.n","7",1969,"unique","all","unique","1",338,"thousands"
"catch.n","8",1969,"unique","all","unique","1",249,"thousands"
"catch.n","9",1969,"unique","all","unique","1",1214,"thousands"
"catch.n","10",1969,"unique","all","unique","1",5379,"thousands"
"catch.n","1",1970,"unique","all","unique","1",1299,"thousands"
"catch.n","2",1970,"unique","all","unique","1",6141,"thousands"
"catch.n","3",1970,"unique","all","unique","1",25996,"thousands"
"catch.n","4",1970,"unique","all","unique","1",8236,"thousands"
"catch.n","5",1970,"unique","all","unique","1",1784,"thousands"
"catch.n","6",1970,"unique","all","unique","1",3231,"thousands"
"catch.n","7",1970,"unique","all","unique","1",11961,"thousands"
"catch.n","8",1970,"unique","all","unique","1",246,"thousands"
"catch.n","9",1970,"unique","all","unique","1",140,"thousands"
"catch.n","10",1970,"unique","all","unique","1",5234,"thousands"
"catch.n","1",1971,"unique","all","unique","1",425,"thousands"
"catch.n","2",1971,"unique","all","unique","1",33765,"thousands"
"catch.n","3",1971,"unique","all","unique","1",14596,"thousands"
"catch.n","4",1971,"unique","all","unique","1",12909,"thousands"
"catch.n","5",1971,"unique","all","unique","1",4538,"thousands"
"catch.n","6",1971,"unique","all","unique","1",1459,"thousands"
"catch.n","7",1971,"unique","all","unique","1",2355,"thousands"
"catch.n","8",1971,"unique","all","unique","1",7300,"thousands"
"catch.n","9",1971,"unique","all","unique","1",194,"thousands"
"catch.n","10",1971,"unique","all","unique","1",4649,"thousands"
"catch.n","1",1972,"unique","all","unique","1",354,"thousands"
"catch.n","2",1972,"unique","all","unique","1",7511,"thousands"
"catch.n","3",1972,"unique","all","unique","1",36356,"thousands"
"catch.n","4",1972,"unique","all","unique","1",6997,"thousands"
"catch.n","5",1972,"unique","all","unique","1",4911,"thousands"
"catch.n","6",1972,"unique","all","unique","1",1548,"thousands"
"catch.n","7",1972,"unique","all","unique","1",517,"thousands"
"catch.n","8",1972,"unique","all","unique","1",1218,"thousands"
"catch.n","9",1972,"unique","all","unique","1",4654,"thousands"
"catch.n","10",1972,"unique","all","unique","1",2772,"thousands"
"catch.n","1",1973,"unique","all","unique","1",716,"thousands"
"catch.n","2",1973,"unique","all","unique","1",12459,"thousands"
"catch.n","3",1973,"unique","all","unique","1",13025,"thousands"
"catch.n","4",1973,"unique","all","unique","1",16493,"thousands"
"catch.n","5",1973,"unique","all","unique","1",4101,"thousands"
"catch.n","6",1973,"unique","all","unique","1",2368,"thousands"
"catch.n","7",1973,"unique","all","unique","1",1013,"thousands"
"catch.n","8",1973,"unique","all","unique","1",779,"thousands"
